title,type,duration_seconds,relpath,url,source_directory,category,tags
Lullaby Night,music,103.262,mixkit/mixkit-lullaby-night-531.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-lullaby-night-531.mp3,mixkit,Piano,"Piano,Relaxation,Kids"
Chillax,music,144.000,mixkit/mixkit-chillax-655.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-chillax-655.mp3,mixkit,Relaxation,"Relaxation,Soft,Calm"
Loving You Is Easy,music,115.911,mixkit/mixkit-loving-you-is-easy-1006%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-loving-you-is-easy-1006%20%281%29.mp3,mixkit,Ambient,"Ambient,Calm,Relaxation"
Beautiful Dream,music,97.019,mixkit/mixkit-beautiful-dream-493.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-beautiful-dream-493.mp3,mixkit,Strings,"Strings,Guitar,Calm"
Discover,music,144.000,mixkit/mixkit-discover-587%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-discover-587%20%281%29.mp3,mixkit,Ambient,"Ambient,Intense,Piano"
mixkit-lullaby-night-531 (1).mp3,music,103.262,mixkit/mixkit-lullaby-night-531%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-lullaby-night-531%20%281%29.mp3,mixkit,,
Staring at the Night Sky,music,142.028,mixkit/mixkit-staring-at-the-night-sky-168.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-staring-at-the-night-sky-168.mp3,mixkit,Dreamy,"Dreamy,Relaxation,Piano"
Relax,music,108.008,mixkit/mixkit-relax-beat-292.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-relax-beat-292.mp3,mixkit,Dreamy,"Dreamy,Calm,Mysterious"
mixkit-lullaby-1.mp3,music,157.000,mixkit/mixkit-lullaby-1.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-lullaby-1.mp3,mixkit,,
Valley Sunset,music,133.776,mixkit/mixkit-valley-sunset-127.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-valley-sunset-127.mp3,mixkit,Ambient,"Ambient,Meditation,Chill"
I Believe 2,music,104.010,mixkit/mixkit-i-believe-2-955.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-i-believe-2-955.mp3,mixkit,Classical,"Classical,Piano,Calm"
1980,music,108.407,mixkit/mixkit-1980-290.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-1980-290.mp3,mixkit,Relaxation,"Relaxation,Chill,Meditation"
Owies Ukulele,music,159.496,mixkit/mixkit-owies-ukulele-1072.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-owies-ukulele-1072.mp3,mixkit,Serene View,"Serene View,Meditation,Relaxation,Lounge"
Chill Bro,music,99.866,mixkit/mixkit-chill-bro-494.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-chill-bro-494.mp3,mixkit,Jazz,"Jazz,Retro,Synthwave"
Finding Myself,music,134.143,mixkit/mixkit-finding-myself-993.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-finding-myself-993.mp3,mixkit,Relaxation,"Relaxation,Meditation,Calm"
Nature Meditation,music,100.018,mixkit/mixkit-nature-meditation-345.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-nature-meditation-345.mp3,mixkit,Relaxation,"Relaxation,Dreamy,Meditation"
Unforgiven,music,133.747,mixkit/mixkit-unforgiven-890.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-unforgiven-890.mp3,mixkit,Video Game,"Video Game,Vocals,Dreamy"
A Happy Child,music,112.483,mixkit/mixkit-a-happy-child-532%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-a-happy-child-532%20%281%29.mp3,mixkit,Children,"Children,Uplifting,Nostalgic"
Sports Highlights,music,96.360,mixkit/mixkit-sports-highlights-51.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-sports-highlights-51.mp3,mixkit,Rock,"Rock,Electric,Retro"
Kodama Night Town,music,184.752,mixkit/mixkit-kodama-night-town-114.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-kodama-night-town-114.mp3,mixkit,Dreamy,"Dreamy,Nature,Slow"
Kidding Around,music,106.995,mixkit/mixkit-kidding-around-9.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-kidding-around-9.mp3,mixkit,Xylophone,"Xylophone,Piano,Video Game"
Random,music,127.000,mixkit/mixkit-random-667.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-random-667.mp3,mixkit,Ambient,"Ambient,Relaxation,Melodic"
Recline and Chill,music,149.786,mixkit/mixkit-recline-and-chill-25.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-recline-and-chill-25.mp3,mixkit,Flute,"Flute,Nostalgic,Background"
mixkit-beautiful-dream-493 (2).mp3,music,97.019,mixkit/mixkit-beautiful-dream-493%20%282%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-beautiful-dream-493%20%282%29.mp3,mixkit,,
mixkit-a-happy-child-532.mp3,music,112.483,mixkit/mixkit-a-happy-child-532.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-a-happy-child-532.mp3,mixkit,,
Serene Moments,music,118.500,mixkit/mixkit-serene-moments-27.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-serene-moments-27.mp3,mixkit,Ambient,"Ambient,Nostalgic,Meditation"
mixkit-beautiful-dream-493 (1).mp3,music,97.019,mixkit/mixkit-beautiful-dream-493%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-beautiful-dream-493%20%281%29.mp3,mixkit,,
Sonor 07,music,237.923,mixkit/mixkit-sonor-07-585.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-sonor-07-585.mp3,mixkit,Seasonal,"Seasonal,Nostalgic,Calm"
Yoga Song,music,98.073,mixkit/mixkit-yoga-song-444.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-yoga-song-444.mp3,mixkit,Relaxation,"Relaxation,Meditation,Calm"
Fun and Games,music,138.600,mixkit/mixkit-fun-and-games-6.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-fun-and-games-6.mp3,mixkit,Children,"Children,Downtempo,Calm"
Harp Relax,music,120.631,mixkit/mixkit-harp-relax-669.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-harp-relax-669.mp3,mixkit,Strings,"Strings,Relaxation,Meditation"
Spring,music,94.857,mixkit/mixkit-happy-spring-535.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-happy-spring-535.mp3,mixkit,Drum & Bass,"Drum & Bass,Drums,Positive"
Dreaming of You,music,148.545,mixkit/mixkit-dreaming-of-you-952.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-dreaming-of-you-952.mp3,mixkit,Relaxation,"Relaxation,Meditation,Melodic"
Forest Treasure,music,104.046,mixkit/mixkit-forest-treasure-138%20%281%29.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-forest-treasure-138%20%281%29.mp3,mixkit,Ambient,"Ambient,Vocals,Atmospheres"
Traveling Along,music,100.125,mixkit/mixkit-traveling-along-94.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-traveling-along-94.mp3,mixkit,Pop,"Pop,Soft,Electric"
At the Playhouse,music,90.880,mixkit/mixkit-at-the-playhouse-821.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-at-the-playhouse-821.mp3,mixkit,Piano,"Piano,Motivational,Melodic"
My Little Star,music,136.000,mixkit/mixkit-my-little-star-1037.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-my-little-star-1037.mp3,mixkit,Ambient,"Ambient,Xylophone,Nostalgic"
Nature Yoga,music,107.788,mixkit/mixkit-nature-yoga-442.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-nature-yoga-442.mp3,mixkit,Relaxation,"Relaxation,Calm,Meditation"
Spiritual Moment,music,118.806,mixkit/mixkit-spiritual-moment-525.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-spiritual-moment-525.mp3,mixkit,Vocals,"Vocals,Dreamy,Meditation"
Relaxation 05,music,117.734,mixkit/mixkit-relaxation-05-749.mp3,https://storage.googleapis.com/cwsounds/mixkit/mixkit-relaxation-05-749.mp3,mixkit,Calm,"Calm,Relaxation,Meditation"
sliding_glass_door_closing.ogg,sfx,2.220,google/sliding_glass_door_closing.ogg,https://storage.googleapis.com/cwsounds/google/sliding_glass_door_closing.ogg,google,,
winding_alarm_clock.ogg,sfx,0.888,google/winding_alarm_clock.ogg,https://storage.googleapis.com/cwsounds/google/winding_alarm_clock.ogg,google,,
sliding_glass_door_opening.ogg,sfx,2.429,google/sliding_glass_door_opening.ogg,https://storage.googleapis.com/cwsounds/google/sliding_glass_door_opening.ogg,google,,
small sliding door opens 5.wav,sfx,0.964,FilmCow%20Recorded%20SFX/small%20sliding%20door%20opens%205.wav,https://storage.googleapis.com/cwsounds/FilmCow%20Recorded%20SFX/small%20sliding%20door%20opens%205.wav,filmcow,,
bubbles 4.wav,sfx,1.353,FilmCow%20Recorded%20SFX/bubbles%204.wav,https://storage.googleapis.com/cwsounds/FilmCow%20Recorded%20SFX/bubbles%204.wav,filmcow,,
bubbles 5.wav,sfx,1.379,FilmCow%20Recorded%20SFX/bubbles%205.wav,https://storage.googleapis.com/cwsounds/FilmCow%20Recorded%20SFX/bubbles%205.wav,filmcow,,
blowing bubbles 1.wav,sfx,1.734,FilmCow%20Recorded%20SFX/blowing%20bubbles%201.wav,https://storage.googleapis.com/cwsounds/FilmCow%20Recorded%20SFX/blowing%20bubbles%201.wav,filmcow,,
small sliding door opens 4.wav,sfx,1.127,FilmCow%20Recorded%20SFX/small%20sliding%20door%20opens%204.wav,https://storage.googleapis.com/cwsounds/FilmCow%20Recorded%20SFX/small%20sliding%20door%20opens%204.wav,filmcow,,
